Numero,Titulo,Compositor_Melodia,Compositor_Letra,Arquivo
1,Não há medo (Entrada),"Fr. Fabretti, ofm",J. Thomaz Filho,cantos/1_Não_há_medo_Entrada.pdf
2,"Vinde, Espírito de Deus","Frei Fabreti, ofm",J. Thomaz Filho,cantos/2_Vinde_Espírito_de_Deus.pdf
3,O Meu Espírito Conduz (Aclamação ao Evangelho),Fr. Fabreti,J. Thomaz Filho,cantos/3_O_Meu_Espírito_Conduz_Aclamação_ao_Evangelho.pdf
4,"Ó Pai, que pelo Espírito (Oferendas)","Fr. Fabreti, ofm",J. Thomaz filho,cantos/4_Ó_Pai_que_pelo_Espírito_Oferendas.pdf
5,Cantar a Beleza da Vida (Comunhão),Fr. Fabreti,J. Thomaz Filho,cantos/5_Cantar_a_Beleza_da_Vida_Comunhão.pdf
6,Os Panos Dobrados no Chão (Louvor Final),Fr. Fabreti,J. Thomaz Filho,cantos/6_Os_Panos_Dobrados_no_Chão_Louvor_Final.pdf
7,A Salvação do Nosso Deus,"Frei Fabreti, ofm",,cantos/7_A_Salvação_do_Nosso_Deus.pdf
8,Tua Palavra é uma Candeia,,,cantos/8_Tua_Palavra_é_uma_Candeia.pdf
9,Desde a Manhã Preparo uma Oferenda,,,cantos/9_Desde_a_Manhã_Preparo_uma_Oferenda.pdf
10,"Convertei-vos, Senhor Deus do Mundo",Fr. Fabreti,,cantos/10_Convertei-vos_Senhor_Deus_do_Mundo.pdf
11,Nascerá o Príncipe da Paz,Fr. Fabreti,,cantos/11_Nascerá_o_Príncipe_da_Paz.pdf
12,Há Todo um Povo,Ir. Cecília Vaz Castilho,,cantos/12_Há_Todo_um_Povo.pdf
14,Bem Feliz é o Manso e o Pobre,,,cantos/14_Bem_Feliz_é_o_Manso_e_o_Pobre.pdf
15,"Pouco a Pouco, Lentamente",,,cantos/15_Pouco_a_Pouco_Lentamente.pdf
16,Se Calarem a Voz dos Profetas,,,cantos/16_Se_Calarem_a_Voz_dos_Profetas.pdf
18,Celebremos na Alegria,Ir. Míria T. Kolling,,cantos/18_Celebremos_na_Alegria.pdf
19,"Senhor, se Tua voz não ouvi",Ir. Míria T. Kolling,,cantos/19_Senhor_se_Tua_voz_não_ouvi.pdf
20,Glória,Ir. Míria T. Kolling,,cantos/20_Glória.pdf
21,Como Maria Agora vou ouvir(Aclamação ao Evangelho),Ir. Míria T. Kolling,,cantos/21_Como_Maria_Agora_vou_ouvirAclamação_ao_Evangelho.pdf
22,"Em Caná o teu amor, Maria (Oferendas)",Ir. Míria T. Kolling,,cantos/22_Em_Caná_o_teu_amor_Maria_Oferendas.pdf
23,Santo!,Ir. Míria T. Kolling,,cantos/23_Santo.pdf
24,Quando teu Filho vier (Comunhão),Ir. Míria T. Kolling,,cantos/24_Quando_teu_Filho_vier_Comunhão.pdf
25,"Se, Maria, vais comigo",Ir. Míria T. Kolling,,cantos/25_Se_Maria_vais_comigo.pdf
36,"Vou deixar vocês, irmãos!",Ir. Míria T. Kolling,,cantos/36_Vou_deixar_vocês_irmãos.pdf
38,É grande o Senhor (Entrada),Letra: J. Thomaz Filho,,cantos/38_É_grande_o_Senhor_Entrada.pdf
39,Aleluia! Primavera (Aclamação ao Evangelho),Fr. Fabreti,J. Thomaz Filho,cantos/39_Aleluia_Primavera_Aclamação_ao_Evangelho.pdf
40,Como vai ser?,Fr. Fabreti,J. Thomaz Filho,cantos/40_Como_vai_ser.pdf
41,Povo de Deus foi assim (Comunhão),Fr. Fabreti,J. Thomaz Filho,cantos/41_Povo_de_Deus_foi_assim_Comunhão.pdf
42,Das forças da natureza (Louvor final),Fr. Fabreti,J. Thomaz Filho,cantos/42_Das_forças_da_natureza_Louvor_final.pdf
43,Vou lhes preparar no céu,"Jo 14,1...",,cantos/43_Vou_lhes_preparar_no_céu.pdf
44,"Senhor, em ti espero (Salmo responsorial)",Ir. Míria T. Kolling,,cantos/44_Senhor_em_ti_espero_Salmo_responsorial.pdf
45,Sou a Vida!,Jo 11,,cantos/45_Sou_a_Vida.pdf
46,Nem a vida nem a morte (Oferendas),"Rom 8,31...",,cantos/46_Nem_a_vida_nem_a_morte_Oferendas.pdf
47,A nossa vida a um sopro é semelhante (Comunhão),,,cantos/47_A_nossa_vida_a_um_sopro_é_semelhante_Comunhão.pdf
48,"Maria, ó Mãe cheia de graça",Ir. Míria T. Kolling,,cantos/48_Maria_ó_Mãe_cheia_de_graça.pdf
49,Nosso Deus viu que o tempo chegou (Entrada),"Frei Fabreti, ofm",J. Thomaz Filho,cantos/49_Nosso_Deus_viu_que_o_tempo_chegou_Entrada.pdf
50,Pequenino se fez nosso irmão,,,cantos/50_Pequenino_se_fez_nosso_irmão.pdf
51,Aleluia! Quem diria!,Fr. Fabreti,J. Thomaz Filho,cantos/51_Aleluia_Quem_diria.pdf
52,"Longe, distante de casa",Fr. Fabreti,J. Thomaz Filho,cantos/52_Longe_distante_de_casa.pdf
53,Deus nos espera em Belém,Fr. Fabreti,J. Thomaz Filho,cantos/53_Deus_nos_espera_em_Belém.pdf
54,A felicidade tem nome,Fr. Fabreti,J. Thomaz Filho,cantos/54_A_felicidade_tem_nome.pdf
55,Sabe quanto custa um filho,"Frei Fabreti, ofm",J. Thomaz Filho,cantos/55_Sabe_quanto_custa_um_filho.pdf
56,Terra inteira louvai ao Senhor,Fr Fabreti,J. Thomaz Filho,cantos/56_Terra_inteira_louvai_ao_Senhor.pdf
57,Aleluia! Aleluia!,Fr. Fabreti,J. Thomaz Filho,cantos/57_Aleluia_Aleluia.pdf
58,Tanto que esperou pudesse um dia,Fr. Fabreti,J. Thomaz Filho,cantos/58_Tanto_que_esperou_pudesse_um_dia.pdf
59,O meu Reino tem muito a dizer,,,cantos/59_O_meu_Reino_tem_muito_a_dizer.pdf
