Data;Domingo Litúrgico
27/09/2026;26º Domingo do Tempo Comum, Ano A
04/10/2026;27º Domingo do Tempo Comum, Ano A
11/10/2026;28º Domingo do Tempo Comum, Ano A
18/10/2026;29º Domingo do Tempo Comum, Ano A
25/10/2026;30º Domingo do Tempo Comum, Ano A
01/11/2026;31º Domingo do Tempo Comum, Ano A
08/11/2026;32º Domingo do Tempo Comum, Ano A
15/11/2026;33º Domingo do Tempo Comum, Ano A
22/11/2026;Nosso Senhor Jesus Cristo, Rei do Universo, Ano A
29/11/2026;1º Domingo do Advento, Ano B
06/12/2026;2º Domingo do Advento, Ano B
13/12/2026;3º Domingo do Advento (Domingo Gaudete), Ano B
20/12/2026;4º Domingo do Advento, Ano B
27/12/2026;Sagrada Família de Jesus, Maria e José, Ano B
03/01/2027;Epifania do Senhor, Ano B
10/01/2027;Batismo do Senhor, Ano B
17/01/2027;2º Domingo do Tempo Comum, Ano B
24/01/2027;3º Domingo do Tempo Comum, Ano B
31/01/2027;4º Domingo do Tempo Comum, Ano B
07/02/2027;5º Domingo do Tempo Comum, Ano B
14/02/2027;1º Domingo da Quaresma, Ano B
21/02/2027;2º Domingo da Quaresma, Ano B
28/02/2027;3º Domingo da Quaresma, Ano B
07/03/2027;4º Domingo da Quaresma, Ano B
14/03/2027;5º Domingo da Quaresma, Ano B
21/03/2027;Domingo de Ramos da Paixão do Senhor, Ano B
28/03/2027;Domingo de Páscoa da Ressurreição do Senhor, Ano B
04/04/2027;2º Domingo da Páscoa (Domingo da Divina Misericórdia), Ano B
11/04/2027;3º Domingo da Páscoa, Ano B
18/04/2027;4º Domingo da Páscoa (Bom Pastor), Ano B
25/04/2027;5º Domingo da Páscoa, Ano B
02/05/2027;6º Domingo da Páscoa, Ano B
09/05/2027;Ascensão do Senhor (7º Domingo da Páscoa), Ano B
16/05/2027;Pentecostes, Ano B
23/05/2027;Santíssima Trindade, Ano B
30/05/2027;9º Domingo do Tempo Comum, Ano B
06/06/2027;10º Domingo do Tempo Comum, Ano B
13/06/2027;11º Domingo do Tempo Comum, Ano B
20/06/2027;12º Domingo do Tempo Comum, Ano B
27/06/2027;13º Domingo do Tempo Comum, Ano B
04/07/2027;14º Domingo do Tempo Comum, Ano B
11/07/2027;15º Domingo do Tempo Comum, Ano B
18/07/2027;16º Domingo do Tempo Comum, Ano B
25/07/2027;17º Domingo do Tempo Comum, Ano B
01/08/2027;18º Domingo do Tempo Comum, Ano B
08/08/2027;19º Domingo do Tempo Comum, Ano B
15/08/2027;20º Domingo do Tempo Comum, Ano B
22/08/2027;21º Domingo do Tempo Comum, Ano B
29/08/2027;22º Domingo do Tempo Comum, Ano B
05/09/2027;23º Domingo do Tempo Comum, Ano B
12/09/2027;24º Domingo do Tempo Comum, Ano B
19/09/2027;25º Domingo do Tempo Comum, Ano B
26/09/2027;26º Domingo do Tempo Comum, Ano B
03/10/2027;27º Domingo do Tempo Comum, Ano B
10/10/2027;28º Domingo do Tempo Comum, Ano B
17/10/2027;29º Domingo do Tempo Comum, Ano B
24/10/2027;30º Domingo do Tempo Comum, Ano B
31/10/2027;31º Domingo do Tempo Comum, Ano B
07/11/2027;32º Domingo do Tempo Comum, Ano B
14/11/2027;33º Domingo do Tempo Comum, Ano B
21/11/2027;Nosso Senhor Jesus Cristo, Rei do Universo, Ano B
28/11/2027;1º Domingo do Advento, Ano C
05/12/2027;2º Domingo do Advento, Ano C
12/12/2027;3º Domingo do Advento (Domingo Gaudete), Ano C
19/12/2027;4º Domingo do Advento, Ano C
26/12/2027;Sagrada Família de Jesus, Maria e José, Ano C
